nombre,url,imagen
Laptops | Core i3,https://www.memorykings.pe/listados/247/laptops-core-i3,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-core-i3-1.jpg
Laptops | Core i5,https://www.memorykings.pe/listados/258/laptops-core-i5,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-core-i5-1.jpg
Laptops | Core i7,https://www.memorykings.pe/listados/257/laptops-core-i7,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-core-i7.jpg
Laptops | Core i9,https://www.memorykings.pe/listados/927/laptops-core-i9,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-core-i9.jpg
Laptops | Core Ultra 5,https://www.memorykings.pe/listados/464/laptops-core-ultra-5,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-ultra-5.jpg
Laptops | Core Ultra 7,https://www.memorykings.pe/listados/465/laptops-core-ultra-7,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-ultra-7.jpg
Laptops | Core Ultra 9,https://www.memorykings.pe/listados/1263/laptops-core-ultra-9,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-ultra-9.jpg
Laptops | Ryzen (AI),https://www.memorykings.pe/listados/1028/laptops-ryzen-ai,https://cdn.memorykings.pe/files/2025/06/11/subcategoria-laptop-ryzen-AI.jpg
Laptops | Ryzen 3,https://www.memorykings.pe/listados/888/laptops-ryzen-3,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-ryzen-3.jpg
Laptops | Ryzen 5,https://www.memorykings.pe/listados/915/laptops-ryzen-5,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-ryzen-5.jpg
Laptops | Ryzen 7,https://www.memorykings.pe/listados/388/laptops-ryzen-7,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-ryzen-7.jpg
Laptops | Ryzen 9,https://www.memorykings.pe/listados/467/laptops-ryzen-9,https://cdn.memorykings.pe/files/2025/01/20/subcategoria-laptop-ryzen-9.jpg
